source_file,sub,ses,phase,run,sfreq,n_samples,duration_s,n_triggers,scan_start_s,scan_dur_s,gaze_valid_pct,pupil_valid_pct,gaze_viable,pupil_viable,decision,channels,note
sub-04/ses-19/eyetracking/s4s1r1r_2025_04_09_13_38.EDF,sub-04,ses-19,retrieval,1,1000,1267980,1268.0,773,109.9,1158.0,60.9,62.9,True,True,include,gaze+pupil,
sub-04/ses-19/eyetracking/s4s1r2m_2025_04_09_13_07.EDF,sub-04,ses-19,encoding,2,1000,1036015,1036.0,665,39.5,996.0,91.6,91.8,True,True,include,gaze+pupil,
sub-04/ses-20/eyetracking/s4s2r1m_2025_04_16_12_39.EDF,sub-04,ses-20,encoding,1,1000,1054687,1054.7,671,48.9,1005.0,89.1,89.8,True,True,include,gaze+pupil,
sub-04/ses-20/eyetracking/s4s2r1r_2025_04_16_13_41.EDF,sub-04,ses-20,retrieval,1,1000,2257162,2257.2,1481,37.6,2219.5,74.5,76.9,True,True,include,gaze+pupil,
sub-04/ses-20/eyetracking/s4s2r2m_2025_04_16_13_00.EDF,sub-04,ses-20,encoding,2,1000,1079694,1079.7,697,35.7,1043.9,91.2,91.3,True,True,include,gaze+pupil,
sub-04/ses-21/eyetracking/s4s3r1m_2025_04_23_12_43.EDF,sub-04,ses-21,encoding,1,1000,1096084,1096.1,708,35.9,1060.2,90.3,91.2,True,True,include,gaze+pupil,
sub-04/ses-21/eyetracking/s4s3r1r_2025_04_23_13_34.EDF,sub-04,ses-21,retrieval,1,1000,2622392,2622.4,1703,69.1,2552.9,73.0,74.2,True,True,include,gaze+pupil,
sub-04/ses-21/eyetracking/s4s3r2m_2025_04_23_13_04.EDF,sub-04,ses-21,encoding,2,1000,1086622,1086.6,699,38.7,1047.0,88.1,90.3,True,True,include,gaze+pupil,
sub-04/ses-22/eyetracking/s4s4r1r_2025_04_30_13_31.EDF,sub-04,ses-22,retrieval,1,1000,2840401,2840.4,1855,60.0,2780.4,41.2,44.6,False,False,exclude,,
sub-04/ses-22/eyetracking/s4s4r2m_2025_04_30_12_59.EDF,sub-04,ses-22,encoding,2,1000,1202490,1202.5,777,38.9,1163.6,88.4,89.5,True,True,include,gaze+pupil,
sub-04/ses-22/eyetracking/s4s4s1r_2025_04_30_12_38.EDF,sub-04,ses-22,retrieval,1,1000,1172923,1172.9,761,32.0,1140.0,90.8,91.0,True,True,include,gaze+pupil,
sub-04/ses-23/eyetracking/s4s5r1m_2025_05_05_11_59.EDF,sub-04,ses-23,encoding,1,1000,1268043,1268.0,811,52.6,1215.0,86.1,91.2,True,True,include,gaze+pupil,
sub-04/ses-23/eyetracking/s4s5r1r_2025_05_05_12_53.EDF,sub-04,ses-23,retrieval,1,1000,2629835,2629.8,1708,69.2,2560.4,69.1,75.8,True,True,include,gaze+pupil,
sub-04/ses-23/eyetracking/s4s5r2m_2025_05_05_12_23.EDF,sub-04,ses-23,encoding,2,1000,1103766,1103.8,703,50.6,1053.0,84.9,90.9,True,True,include,gaze+pupil,
sub-04/ses-24/eyetracking/s4s6r1_2025_05_14_14_15.EDF,sub-04,ses-24,retrieval,1,1000,1014970,1015.0,656,32.7,982.2,57.9,63.6,False,True,include,pupil_only,
sub-04/ses-24/eyetracking/s4s6r1m_2025_05_14_12_50.EDF,sub-04,ses-24,encoding,1,1000,1212480,1212.5,779,45.9,1166.6,77.1,89.1,True,True,include,gaze+pupil,
sub-04/ses-24/eyetracking/s4s6r2m_2025_05_14_13_12.EDF,sub-04,ses-24,encoding,2,1000,921214,921.2,593,33.4,887.9,90.6,91.9,True,True,include,gaze+pupil,
sub-04/ses-26/eyetracking/s4s8r1m_2025_05_23_12_45.EDF,sub-04,ses-26,encoding,1,1000,1053619,1053.6,681,32.9,1020.0,92.2,93.6,True,True,include,gaze+pupil,
sub-04/ses-26/eyetracking/s4s8r1r_2025_05_23_13_34.EDF,sub-04,ses-26,retrieval,1,1000,2542537,2542.5,1627,103.7,2438.8,74.7,77.6,True,True,include,gaze+pupil,
sub-04/ses-26/eyetracking/s4s8r2m_2025_05_23_13_03.EDF,sub-04,ses-26,encoding,2,1000,1069957,1070.0,693,32.0,1037.9,91.0,92.2,True,True,include,gaze+pupil,
sub-04/ses-27/eyetracking/s4s9r1m_2025_05_29_10_11.EDF,sub-04,ses-27,encoding,1,1000,1173020,1173.0,711,107.4,1065.0,91.6,92.4,True,True,include,gaze+pupil,
sub-04/ses-27/eyetracking/s4s9r1r_2025_05_29_11_01.EDF,sub-04,ses-27,retrieval,1,1000,2648471,2648.5,1735,47.7,2600.8,21.5,24.7,False,False,exclude,,
